part,start_row,end_row,rows,file
1,2,501,500,part-001.csv
2,502,1001,500,part-002.csv
3,1002,1501,500,part-003.csv
4,1502,2001,500,part-004.csv
5,2002,2501,500,part-005.csv
6,2502,3001,500,part-006.csv
7,3002,3501,500,part-007.csv
8,3502,4001,500,part-008.csv
9,4002,4321,320,part-009.csv
