provincia,municipio,poblacion
Madrid,Madrid,3223000
Barcelona,Barcelona,1655000
Sevilla,Sevilla,688000
Valencia,Valencia,791000
Zaragoza,Zaragoza,674000
Málaga,Málaga,579000
Murcia,Murcia,460000
Palma,Palma de Mallorca,420000
Bilbao,Bilbao,345000
Alicante,Alicante,338000
