provincia,municipio,poblacion
pobmun98,1260,299
pobmun98,1261,59
pobmun98,1262,213
pobmun98,1263,3310
pobmun98,1264,877
pobmun98,1265,5265
pobmun98,1266,129
pobmun98,1267,328
pobmun98,1269,486
pobmun98,127,206
pobmun98,1270,653
pobmun98,1271,3171
pobmun98,1272,80
pobmun98,1274,90
pobmun98,1275,94
pobmun98,1276,1513
pobmun98,1277,229
pobmun98,1278,485
pobmun98,1279,301
pobmun98,128,785
pobmun98,1280,56
pobmun98,1281,102
pobmun98,1282,777
pobmun98,1283,83
pobmun98,1284,2344
pobmun98,1285,64
pobmun98,1286,1004
pobmun98,1287,2130
pobmun98,1288,178
pobmun98,1289,415
pobmun98,129,136
pobmun98,1290,719
pobmun98,1291,305
pobmun98,1292,114
pobmun98,1293,945
pobmun98,1294,70
pobmun98,1295,1123
pobmun98,1296,1145
pobmun98,1297,111
pobmun98,1298,316
pobmun98,1299,5068
pobmun98,13,72117
pobmun98,130,26
pobmun98,1300,97
pobmun98,1301,441
pobmun98,1302,581
pobmun98,1303,272
pobmun98,1304,1244
pobmun98,1305,201
pobmun98,1306,370
pobmun98,1307,86
pobmun98,1308,52
pobmun98,1309,319
pobmun98,131,12823
pobmun98,1310,2978
pobmun98,1311,57518
pobmun98,1312,67
pobmun98,1314,96
pobmun98,1315,45
pobmun98,1316,389
pobmun98,1317,253
pobmun98,1318,374
pobmun98,1319,309
pobmun98,132,394
pobmun98,1320,70
pobmun98,1321,491
pobmun98,1322,83
pobmun98,1323,821
pobmun98,1324,363
pobmun98,1325,396
pobmun98,1326,2323
pobmun98,1327,112
pobmun98,1328,1188
pobmun98,1329,254
pobmun98,133,168
pobmun98,1330,154
pobmun98,1331,6215
pobmun98,1332,660
pobmun98,1333,1005
pobmun98,1334,1745
pobmun98,1335,37
pobmun98,1336,30
pobmun98,1337,558
pobmun98,1338,961
pobmun98,1339,3294
pobmun98,134,2199
pobmun98,1340,3283
pobmun98,1341,148
pobmun98,1342,251
pobmun98,1343,261
pobmun98,1344,1942
pobmun98,1345,190
pobmun98,1346,252
pobmun98,1347,1480
pobmun98,1348,1037
pobmun98,1349,269
pobmun98,135,299
pobmun98,1350,10758
pobmun98,1351,403
pobmun98,1352,450
pobmun98,1353,107
pobmun98,1354,166
pobmun98,1355,930
pobmun98,1356,107
pobmun98,1357,5374
pobmun98,1358,153
pobmun98,1359,383
pobmun98,136,4537
pobmun98,1360,6988
pobmun98,1361,860
pobmun98,1362,10976
pobmun98,1363,2144
pobmun98,1364,206
pobmun98,1365,211
pobmun98,1366,289
pobmun98,1367,83
pobmun98,1368,520
pobmun98,1369,282
pobmun98,137,14628
pobmun98,1370,9477
pobmun98,1371,3383
pobmun98,1372,198
pobmun98,1373,307
pobmun98,1374,264
pobmun98,1375,28
pobmun98,1376,2007
pobmun98,1377,1387
pobmun98,1378,1359
pobmun98,1379,357
pobmun98,138,117
pobmun98,1380,448
pobmun98,1381,352
pobmun98,1382,1582
pobmun98,1383,53
pobmun98,1384,3226
pobmun98,1385,390
pobmun98,1386,2662
pobmun98,1387,1590
pobmun98,1388,115
pobmun98,1389,214
pobmun98,139,98649
pobmun98,1390,1320
pobmun98,1391,26
pobmun98,1392,100
pobmun98,1393,279
pobmun98,1394,1495
pobmun98,1395,288
pobmun98,1396,498
pobmun98,1397,2568
pobmun98,1398,5362
pobmun98,1399,381
pobmun98,14,87
pobmun98,140,151
pobmun98,1400,181
pobmun98,1401,1972
pobmun98,1402,70
pobmun98,1403,164
pobmun98,1404,782
pobmun98,1405,23
pobmun98,1406,313
pobmun98,1407,137
pobmun98,1408,195
pobmun98,1409,1235
pobmun98,141,15951
pobmun98,1410,1148
pobmun98,1411,6580
pobmun98,1412,121
pobmun98,1413,210
pobmun98,1414,527
pobmun98,1415,207
pobmun98,1416,1353
pobmun98,1417,117
pobmun98,1418,137
pobmun98,1419,559
pobmun98,142,3049
pobmun98,1420,239
pobmun98,1421,9389
pobmun98,1422,57
pobmun98,1423,1403
pobmun98,1424,1103
pobmun98,1425,87
pobmun98,1426,2183
pobmun98,1427,99
pobmun98,1428,25
pobmun98,1429,260
pobmun98,143,82
pobmun98,1430,4754
pobmun98,1431,171
pobmun98,1432,137
pobmun98,1433,33
pobmun98,1434,481
pobmun98,1435,354
pobmun98,1436,211
pobmun98,1437,1313
pobmun98,1438,861
pobmun98,1439,73
pobmun98,144,1076
pobmun98,1440,172
pobmun98,1441,119
pobmun98,1442,1006
pobmun98,1443,41
pobmun98,1444,1091
pobmun98,1445,950
pobmun98,1446,22
pobmun98,1447,290
pobmun98,1448,573
pobmun98,1449,491
pobmun98,145,121
pobmun98,1450,2125
pobmun98,1451,197
pobmun98,1452,1478
pobmun98,1453,312
pobmun98,1454,817
pobmun98,1455,2580
pobmun98,1456,422
pobmun98,1457,3949
pobmun98,1458,24878
pobmun98,1459,1478
pobmun98,146,3296
pobmun98,1460,31
pobmun98,1461,1878
pobmun98,1462,289
pobmun98,1463,1686
pobmun98,1465,276
pobmun98,1466,480
pobmun98,1467,231
pobmun98,1468,174
pobmun98,1469,264
pobmun98,147,199
pobmun98,1471,600
pobmun98,1472,468
pobmun98,1473,194
pobmun98,1474,493
pobmun98,1475,1063
pobmun98,1476,631
pobmun98,1477,15800
pobmun98,1478,66
pobmun98,1479,10953
pobmun98,148,75
pobmun98,1480,518
pobmun98,1481,425
pobmun98,1482,112795
pobmun98,1483,1003
pobmun98,1484,376
pobmun98,1485,1257
pobmun98,1486,15
pobmun98,1487,143
pobmun98,1488,253
pobmun98,1489,666
pobmun98,149,4608
pobmun98,1490,146
pobmun98,1491,603
pobmun98,1492,39
pobmun98,1493,913
pobmun98,1494,23
pobmun98,1495,936
pobmun98,1496,462
pobmun98,1497,821
pobmun98,1498,390
pobmun98,1499,408
pobmun98,15,2155
pobmun98,150,402
pobmun98,1500,117
pobmun98,1501,1489
pobmun98,1503,51
pobmun98,1504,230
pobmun98,1505,458
pobmun98,1506,493
pobmun98,1507,945
pobmun98,1508,1763
pobmun98,1509,2378
pobmun98,151,442
pobmun98,1510,342
pobmun98,1511,792
pobmun98,1512,52
pobmun98,1513,741
pobmun98,1514,932
pobmun98,1515,102
pobmun98,1516,722
pobmun98,1517,86
pobmun98,1518,191
pobmun98,1519,49
pobmun98,152,589
pobmun98,1520,663
pobmun98,1521,106
pobmun98,1522,803
pobmun98,1523,12022
pobmun98,1524,113
pobmun98,1525,84
pobmun98,1526,756
pobmun98,1527,135
pobmun98,1528,797
pobmun98,1529,2027
pobmun98,153,171
pobmun98,1530,42
pobmun98,1531,2301
pobmun98,1532,268
pobmun98,1533,172
pobmun98,1534,2098
pobmun98,1535,1218
pobmun98,1536,9554
pobmun98,1537,555
pobmun98,1538,266
pobmun98,1539,192
pobmun98,154,131
pobmun98,1540,184
pobmun98,1541,130
pobmun98,1542,1013
pobmun98,1543,47
pobmun98,1544,65
pobmun98,1545,122
pobmun98,1546,381
pobmun98,1547,252
pobmun98,1548,241
pobmun98,1549,685
pobmun98,155,7375
pobmun98,1550,161
pobmun98,1551,1930
pobmun98,1552,399
pobmun98,1553,129
pobmun98,1554,29600
pobmun98,1555,1288
pobmun98,1556,2681
pobmun98,1557,21678
pobmun98,1558,258
pobmun98,1559,1594
pobmun98,156,59
pobmun98,1561,51
pobmun98,1562,69
pobmun98,1563,395
pobmun98,1564,255
pobmun98,1565,4440
pobmun98,1566,311
pobmun98,1567,5208
pobmun98,1568,2228
pobmun98,1569,447
pobmun98,157,48107
pobmun98,1570,641
pobmun98,1571,1616
pobmun98,1572,479
pobmun98,1573,499
